"","Date","Period","ID1","ID2"
"309","6/21/21","2","MN23","MN19"
"310","6/21/21","2","MN23","MN44"
"311","6/21/21","2","MN70","MN19"
"312","6/21/21","2","MN70","MN44"
"313","6/21/21","2","MN19","MN44"
"314","6/21/21","2","MN31","MN55"
"315","6/21/21","2","MN51","MN45"
"316","6/21/21","2","MN51","MN26"
"317","6/21/21","2","MN45","MN26"
"318","6/21/21","2","MN14","MN2"
"319","6/21/21","2","MN14","MN7"
"320","6/21/21","2","MN2","MN7"
"321","6/22/21","2","MN17","MN28"
"322","6/22/21","2","MN17","MN12"
"323","6/22/21","2","MN28","MN12"
"324","6/22/21","2","MN13A","MN13B"
"325","6/22/21","2","MN44","MN67"
"326","6/22/21","2","MN54","MN71"
"327","6/22/21","2","MN58","MN19"
"328","6/22/21","2","MN59","MN40"
"329","6/22/21","2","MN76","MN18"
"330","6/22/21","2","MN76","MN63B"
"331","6/22/21","2","MN18","MN63B"
"332","6/22/21","2","MN21","MN20"
"333","6/22/21","2","MN22","MN69"
"334","6/22/21","2","MN60","MN64"
"335","6/22/21","2","MN60","MN1"
"336","6/22/21","2","MN64","MN1"
"337","6/22/21","2","MN51","MN14"
"338","6/22/21","2","MN51","MN70"
"339","6/22/21","2","MN51","MN41"
"340","6/22/21","2","MN51","MN8"
"341","6/22/21","2","MN51","MN2"
"342","6/22/21","2","MN14","MN70"
"343","6/22/21","2","MN14","MN41"
"344","6/22/21","2","MN14","MN8"
"345","6/22/21","2","MN14","MN2"
"346","6/22/21","2","MN70","MN41"
"347","6/22/21","2","MN70","MN8"
"348","6/22/21","2","MN70","MN2"
"349","6/22/21","2","MN41","MN8"
"350","6/22/21","2","MN41","MN2"
"351","6/22/21","2","MN8","MN2"
"352","6/23/21","2","MN28","MN17"
"353","6/23/21","2","MN28","MN12"
"354","6/23/21","2","MN17","MN12"
"355","6/23/21","2","MN13A","MN13B"
"356","6/23/21","2","MN71","MN54"
"357","6/23/21","2","MN59","MN29"
"358","6/23/21","2","MN59","MN40"
